paper_title,doi,doi_url
Growth mechanisms and properties of carburized layers with a certain extent of surface oxidation on TA1 and TC21 alloys during the process of conventional solid pack carburizing,10.1016/S1003-6326(21)65504-8,https://doi.org/10.1016/S1003-6326(21)65504-8
Heat treatment possibilities for an in situ βTi-TiC composite made by laser powder bed fusion,10.1016/j.matchar.2023.112788,https://doi.org/10.1016/j.matchar.2023.112788
Heterogeneous dynamic restoration of Ti15Mo alloy during hot compression,10.1016/j.matdes.2023.111693,https://doi.org/10.1016/j.matdes.2023.111693
High-temperature deformation mechanism of Ti5Mo4Fe metastable beta titanium alloy Synergistic effect of strain rate sensitivity Z-parameter and activation energy,10.1016/j.jmrt.2025.10.158,https://doi.org/10.1016/j.jmrt.2025.10.158
High-temperature oxidation behaviors and mechanical properties of TiAlCrMnHEAs during heat treatment,10.1016/j.jmrt.2025.10.090,https://doi.org/10.1016/j.jmrt.2025.10.090
Homogenization forging and deformation mechanism of near-ceitalicβceitalic titanium alloy in ceitalicαceitalicceitalicβceitalic region,10.1016/j.matdes.2019.107891,https://doi.org/10.1016/j.matdes.2019.107891
Hybrid manufacturing approach for landing gear applications WAAM Ti6Al4V on forged Ti5Al5Mo5V3Cr,10.1016/j.revmat.2025.100011,https://doi.org/10.1016/j.revmat.2025.100011
Improvement of interfacial compatibility of SiCceinflocpostfceinfTi-6Al-4V composites by applying fiber coating and heat treatment,10.14264/uql.2018.336,https://doi.org/10.14264/uql.2018.336
Improving the mechanical strength of ternary beta titanium alloy Ti-Ta-Sn foams using a bimodal microstructure,10.1016/j.pnsc.2018.10.004,https://doi.org/10.1016/j.pnsc.2018.10.004
In-situ high-temperature EBSD characterization during a solution heat treatment of hot-rolled Ti-6Al-4V,10.1016/j.actamat.2019.08.037,https://doi.org/10.1016/j.actamat.2019.08.037
In-situ Micro-CT analysis of deformation behavior in sandwich-structured meta-stable beta Ti35Nb alloy,10.1016/j.msea.2024.146619,https://doi.org/10.1016/j.msea.2024.146619
Influence mechanism of microstructure variation on mechanical properties of laser melting deposition Ti6Al4V alloy under electroshocking treatment,10.1016/j.matdes.2020.109322,https://doi.org/10.1016/j.matdes.2020.109322
Influence of gradual stress relieving on the microstructure texture development grain structure and orientation of the hot-rolled Ti6Al4V5Cu alloy,10.1016/j.matdes.2022.110386,https://doi.org/10.1016/j.matdes.2022.110386
Influence of heat treatment on the residual stress-related machining distortion of Ti-6Al-4V alloy monolithic parts,10.14264/uql.2018.336,https://doi.org/10.14264/uql.2018.336
Influence of heat treatment on the tensile properties of Ti15Mo additively manufactured by laser metal deposition,10.1016/j.jallcom.2017.11.004,https://doi.org/10.1016/j.jallcom.2017.11.004
Influence of heat treatment parameters on microstructure and mechanical performance of titanium alloy in LPBF A brief review,10.1016/j.jmrt.2025.10.090,https://doi.org/10.1016/j.jmrt.2025.10.090
Influence of the process parameters on the microstructure and the machinability of additively manufactured Ti-5553 titanium alloy,10.1016/j.jmrt.2024.08.172,https://doi.org/10.1016/j.jmrt.2024.08.172
Investigation of tensile deformation behavior of a TWIPTRIP metastable β titanium alloy at typical temperature part Ⅱ 20K,10.1016/j.jmrt.2019.12.062,https://doi.org/10.1016/j.jmrt.2019.12.062
Laser additive manufacturing of new αβ titanium alloy with high strength and ductility,10.1016/j.apmate.2021.11.001,https://doi.org/10.1016/j.apmate.2021.11.001
Laser surface melting of TC21 αβ titanium alloy with 80 track Overlap Microstructural evolution and hardness Enhancement,10.1016/j.matdes.2020.109322,https://doi.org/10.1016/j.matdes.2020.109322
Microstructural evolution and dynamic recrystallization mechanisms of additively manufactured TiAl alloy with heterogeneous microstructure during hot compression,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157
