paper_title,doi,doi_url,folder_num
Effects of Cr on twinning in Ni-based superalloys,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,60
Influence of oxygen on performance of multi-principal element alloy as braze filler for Ni-base alloys,10.1016/j.procir.2022.06.071,https://doi.org/10.1016/j.procir.2022.06.071,61
Directional recrystallization of an additively manufactured Ni-base superalloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,62
Surface modification of Ti-based alloy by selective laser melting of Ni-based superalloy powder,10.1016/j.jmrt.2021.07.037,https://doi.org/10.1016/j.jmrt.2021.07.037,63
Shear thickening polishing of the concave surface of high-temperature nickel-based alloy turbine blade,10.1016/j.jmrt.2025.05.140,https://doi.org/10.1016/j.jmrt.2025.05.140,64
Potential for carbide dispersive precipitation strengthening Ni-based alloy for high temperature,10.1016/j.jallcom.2023.170407,https://doi.org/10.1016/j.jallcom.2023.170407,65
Hydrogen embrittlement prompt fracture in Ni-based single crystal superalloy,10.1016/j.addma.2024.104597,https://doi.org/10.1016/j.addma.2024.104597,66
Microalloying effects of Y on performance of cast nickel-based superalloy IN713C,10.1016/j.jmrt.2022.02.077,https://doi.org/10.1016/j.jmrt.2022.02.077,67
Evolution of high-temperature hardness of multimodal γ′ nickel-based superalloy,10.1016/j.msea.2021.141111,https://doi.org/10.1016/j.msea.2021.141111,68
Pulsing-induced healing of a surface crack of a nickel-based alloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,69
Potential of carbide strengthened economical wrought nickel-based alloy for high temperature,10.1016/j.matdes.2017.01.069,https://doi.org/10.1016/j.matdes.2017.01.069,70
Microstructural rejuvenation in a Ni-based single crystal superalloy,10.1016/j.matchar.2016.07.025,https://doi.org/10.1016/j.matchar.2016.07.025,71
New insight on study of Ni-base alloy clad layer after oxidation at 650 C,10.1016/j.corsci.2019.01.013,https://doi.org/10.1016/j.corsci.2019.01.013,1
,,,
,,,
