source,target,edge_type,weight,n_papers
n00158,n00059,INVOLVES_PROCESS,1,1
n00158,n00060,INVOLVES_PROCESS,1,1
n00158,n00043,INVOLVES_PROCESS,1,1
n00158,n00032,INVOLVES_PROCESS,1,1
n00158,n00084,INVOLVES_PROCESS,1,1
n00158,n00014,EXHIBITS_MICRO,1,1
n00158,n00085,EXHIBITS_MICRO,1,1
n00158,n00033,EXHIBITS_MICRO,1,1
n00158,n00017,EXHIBITS_MICRO,1,1
n00158,n00064,EXHIBITS_MICRO,1,1
n00158,n00018,EXHIBITS_MICRO,1,1
n00158,n00065,EXHIBITS_MICRO,1,1
n00158,n00021,MEASURES_PROPERTY,1,1
n00158,n00022,MEASURES_PROPERTY,1,1
n00158,n00047,MEASURES_PROPERTY,1,1
n00158,n00066,MEASURES_PROPERTY,1,1
n00158,n00023,MEASURES_PROPERTY,1,1
n00158,n00049,MEASURES_PROPERTY,1,1
n00158,n00050,MEASURES_PROPERTY,1,1
n00158,n00026,STUDIES_ALLOY,1,1
n00090,n00085,PROCESS_LEADS_TO_MICRO,7,1
n00159,n00002,HAS_ELEMENT,1,1
n00159,n00003,HAS_ELEMENT,1,1
n00159,n00005,HAS_ELEMENT,1,1
n00159,n00006,HAS_ELEMENT,1,1
n00159,n00037,HAS_ELEMENT,1,1
n00159,n00038,HAS_ELEMENT,1,1
n00159,n00039,HAS_ELEMENT,1,1
n00159,n00004,HAS_ELEMENT,1,1
n00159,n00008,HAS_ELEMENT,1,1
n00159,n00040,HAS_ELEMENT,1,1
n00159,n00009,HAS_ELEMENT,1,1
n00159,n00097,INVOLVES_PROCESS,1,1
n00159,n00010,INVOLVES_PROCESS,1,1
n00159,n00090,INVOLVES_PROCESS,1,1
n00159,n00059,INVOLVES_PROCESS,1,1
n00159,n00062,INVOLVES_PROCESS,1,1
n00159,n00043,INVOLVES_PROCESS,1,1
n00159,n00033,EXHIBITS_MICRO,1,1
n00159,n00063,EXHIBITS_MICRO,1,1
n00159,n00015,EXHIBITS_MICRO,1,1
n00159,n00079,EXHIBITS_MICRO,1,1
n00159,n00034,EXHIBITS_MICRO,1,1
n00159,n00017,EXHIBITS_MICRO,1,1
n00159,n00018,EXHIBITS_MICRO,1,1
n00159,n00107,EXHIBITS_MICRO,1,1
n00159,n00065,EXHIBITS_MICRO,1,1
n00159,n00021,MEASURES_PROPERTY,1,1
n00159,n00022,MEASURES_PROPERTY,1,1
n00159,n00047,MEASURES_PROPERTY,1,1
n00159,n00023,MEASURES_PROPERTY,1,1
